engagement_id,client_id,engagement_name,start_date,end_date,status,progress,budget_allocated,budget_spent
E001,C001,Digital Transformation,2023-01-15,2024-01-15,Completed,100,150000,148500
E002,C001,Cloud Migration,2024-02-01,2024-12-31,In Progress,75,200000,165000
E003,C002,Risk Assessment Framework,2023-03-20,2023-09-20,Completed,100,100000,99500
E004,C002,Regulatory Compliance,2023-10-01,2024-06-30,In Progress,60,200000,115000
E005,C003,Store Operations Audit,2023-06-10,2023-12-10,Completed,100,80000,78900
E006,C003,Inventory Optimization,2024-01-01,2024-08-31,In Progress,45,120000,52000
E007,C004,Production Efficiency,2024-01-05,2024-10-05,In Progress,65,200000,135000
E008,C004,Supply Chain Analysis,2024-03-01,2024-12-01,In Progress,50,150000,75000
E009,C005,Hospital Workflow,2022-12-01,2023-12-01,Completed,100,200000,198000
E010,C006,Market Analysis,2023-08-15,2024-02-15,On Hold,25,180000,45000
